"ID","Language","SKU","Title","Subtitle","Related Interests","Body","Price","Currency","Image"
"4","hu","LOND-Pro1","Utazás London Kevesebb","London Business csomag","Bár, Business, étkező, Európa, ingyenes WIFI, Szobaszerviz, UK","Bárhol is üzleti, utazás költséges lehet. És amikor utazik Londonba a költségek is megfizethetetlen. Nexus utazás lehet az Ön számára csomagolt utazási megoldásokat annak érdekében, hogy a munka, pihenés és töltse egyaránt olcsón és élvezetesen. Kezdődik, a repülőtér, ahol a sofőr szolgáltatás Önért, és habverővel, hogy egy csendes, jól szituált, de kedvező árú hotel. Ott, hogy élvezni fogja az előnyeit ingyenes wifi, számos bár és étterem, valamint 24 órás szobaszerviz, így nem fog menni éhező amíg lehúznak az alapvető bemutatót. Ha tud nyújtani nekünk a útvonalát előre is tudunk az Ön számára több napos bérletek és az egyéni ütemtervek tömegközlekedés - vagy ha úgy tetszik, a limuzin szolgáltatás.","1800","USD","london-bigben.jpg"
"5","en","BELIZ-Vac1","Tropical Paradise at Reasonable Rates","Tropical Belize Package","Bar,Dining,Spa,Tropical,Vacation","Whether you're a diver, a climber or a nature lover, Belize has plenty to offer for a great price. And for holidaymakers from the continent US, travel times are suprisingly short, from two to five hours on average. So why not save a few dollars up front and enjoy the country's fascinating Maya-haunted forests, and atmospheric, historic towns. Water lovers can also visit the thrilling Belize Barrier Reef, a UNESCO site that underlines the country's remarkable biodiversity. Hundreds of miles of sandy beaches and friendly, family-run hotels also make it a great place for a traditional beach holiday with a twist. ","1100","USD","belize-dock.jpg"
"5","fr","BELIZ-Vac1","Tropical Paradise à des tarifs raisonnables","Package Belize Tropical","Bar, Restaurant, Spa, Tropical, vacances","Que vous soyez un plongeur, un grimpeur ou un amoureux de la nature, le Belize a beaucoup à offrir pour un prix très intéressant. Et pour les vacanciers en provenance du continent américain, les temps de déplacement sont étonnamment courte, de deux à cinq heures en moyenne. Alors pourquoi ne pas économiser quelques dollars à l'avant et profiter de fascinantes forêts Maya-hantées du pays, et de l'atmosphère, des villes historiques. Les amateurs d'eau peuvent également visiter le passionnant Belize Barrier Reef, un site de l'UNESCO souligne que la biodiversité remarquable du pays. Des centaines de miles de plages de sable fin et hôtels amicales, familiales font également un endroit idéal pour des vacances de plage traditionnelle avec une touche.","1100","USD","belize-dock.jpg"
"5","es","BELIZ-Vac1","Paraíso tropical en las tarifas razonables","Paquete Tropical Belice","Bar, Comedor, Spa, Tropical, Vacaciones","Tanto si eres un buceador, un escalador o un amante de la naturaleza, Belice tiene mucho que ofrecer a un precio increíble. Y para los turistas del continente de Estados Unidos, los tiempos de viaje son sorprendentemente corto, de dos a cinco horas en promedio. Así que ¿por qué no ahorrar unos cuantos dólares por adelantado y disfrutar de fascinantes bosques embrujados-Maya del país, y las ciudades atmosféricas, históricos. Los amantes del agua también pueden visitar el emocionante Belice Barrera de Coral, un sitio de la UNESCO que subraya notable biodiversidad del país. A cientos de kilómetros de playas de arena y hoteles amigables, de gestión familiar, lo convierten en un lugar ideal para unas vacaciones de playa tradicional con un toque.","1100","USD","belize-dock.jpg"
"5","hu","BELIZ-Vac1","Tropical Paradise elfogadható áron","Trópusi Belize csomag","Bár, étkezde, Spa, trópusi, Kiadó","Akár egy búvár, egy hegymászó vagy a természet szerelmese, Belize bőven kínál egy nagy ár. És a nyaralók a kontinens USA-ban, az utazási idő meglepően rövid, kettő és öt óra átlagosan. Akkor miért nem menteni néhány dollárt előre, és élvezze az ország lenyűgöző Maya-kísértetjárta erdők, és a hangulatos, történelmi városok. A víz szerelmesei is látogasson el az izgalmas Belize Barrier Reef, amely az UNESCO helyszínen, hogy hangsúlyozza az ország jelentős biológiai sokfélesége. Több száz mérföldes homokos strandok és barátságos, családi tulajdonban lévő szállodák is, hogy ez egy remek hely a hagyományos tengerparti nyaralás egy csavar.","1100","USD","belize-dock.jpg"
"6","en","LUX-Vac3","Explore Egypt by Air","Egypt Vacation Package w Balloon Ride","Adventure,Culture,Tropical,Vacation","Would you like to see Egypt like no other? Then consider a balloon tour riding high over Luxor.  We'll set you up in a grand hotel downtown.  Early in the morning, our guides will pick you up and drive you to West Bank to enjoy air balloon riding. Relax as the crew sets everything up and then start your balloon ride in the sky of the biggest open-air museum in the world. This magical ride takes 45 minutes and is the closet you can come to a magic carpet ride. Once you've landed, you'll have a whole new perspective of Luxor and you'll likely have a few new places on your list of things to visit! This trip covers airfare, lodging and one balloon ride for two people.","1000","USD","egypt-air.jpg"
"6","fr","LUX-Vac3","Explorez l'Egypte par Air","Egypte forfait vacances avec montgolfière","Aventure, Culture, Tropical, vacances","Voulez-vous voir l'Egypte comme les autres? Ensuite, envisager une visite de ballon en poupe sur Louxor. Nous vous mettons en place dans un grand hôtel du centre-ville. Tôt le matin, nos guides vous chercher et vous conduire à la Cisjordanie pour profiter de ballon à air circonscription. Détendez-vous que l'équipe met tout en place et puis démarrez votre vol en montgolfière dans le ciel de la plus grand musée en plein air dans le monde. Cette randonnée magique prend 45 minutes et est le placard, vous pouvez venir à un voyage en tapis volant. Une fois que vous avez atterri, vous aurez une nouvelle perspective de Louxor et vous aurez probablement quelques nouveaux endroits sur votre liste de choses à visiter! Ce voyage couvre le billet d'avion, l'hébergement et un vol en montgolfière pour deux personnes.","1000","USD","egypt-air.jpg"
"6","es","LUX-Vac3","Descubre Egipto por Air","Egipto Paquete Vacacional w Paseo en Globo","Aventura, Cultura, Tropical, Vacaciones","¿Te gustaría ver a Egipto como ningún otro? Entonces considere una gira globo volando alto en Luxor. Vamos a establecer que en un gran hotel del centro. Temprano en la mañana, nuestros guías te recogerán y lo lleve a Cisjordania para disfrutar de paseos en globo de aire. Relájese mientras el equipo pone todo y luego comenzar su viaje en globo en el cielo de la mayor museo al aire libre en el mundo. Este viaje mágico dura 45 minutos y es el armario se puede llegar a un paseo en una alfombra mágica. Una vez que haya aterrizado, podrás tener una nueva perspectiva de Luxor y es probable que tenga un par de lugares nuevos en su lista de cosas que visitar! Este viaje cubre pasajes aéreos, alojamiento y un paseo en globo para dos personas.","1000","USD","egypt-air.jpg"
"6","hu","LUX-Vac3","Fedezze Egypt Air","Egyiptom nyaralási w Balloon Ride","Kaland, Kultúra, trópusi, Kiadó","Szeretné látni Egyiptomban, mint senki más? Akkor fontolja meg egy léggömb túralovaglás magasak Luxor. Majd meg téged egy nagy hotel a belvárosban. Kora reggel, a vezetők Önért, és elvinni a West Bank, hogy élvezze léggömb lovaglás. Pihenjen a legénység állít mindent, és indítsa el a léggömb út az égen, a legnagyobb szabadtéri múzeum a világon. Ez a varázslatos út 45 percig tart, és a szekrény akkor jön egy varázsszőnyeg lovagolni. Miután leszállt, akkor egy teljesen új perspektívát a Luxor és akkor valószínűleg van néhány új helyen a listát azokról a dolgokról, hogy látogassa meg! Ez az út magában foglalja a repülőjegy, szállás és egy ballon út két ember.","1000","USD","egypt-air.jpg"
"7","en","SYDN-Pro2","Make This Your New Office","Sydney Business Package","Business,Free Wifi,Room Service,Tropical","Business travel to Australia has never been more attractive. There are daily flights from several major US hubs, and a previously unimagined level of comfort in business class - including a la carte menus and flat bed seats. Sydney combines the flair and multicuturalism of London with a perfect tropical climate and excellent, affordable hotels. Who could say no to an office that looks like this? Order a great coffee from room service, get hooked up with the free wifi, and away you go. Before you know it you'll be up and running in your new, sunny outdoor office. And should you need to step inside your every business need will be catered for by caring attentive staff that know how to turn a good visit into a great visit. ","1300","USD","sydney-balcony.jpg"
"7","fr","SYDN-Pro2","En faire votre nouvelle Bureau","Sydney Business Package","D'affaires, Wifi gratuit, Room Service, Tropical","Voyage d'affaires à l'Australie n'a jamais été aussi attrayant. Il ya des vols quotidiens en provenance des grands centres des États-Unis, et un niveau précédemment inimaginable de confort en classe affaires - y compris les menus à la carte et les sièges à plat. Sydney combine le style et multicuturalism de Londres avec un climat tropical parfait et d'excellents hôtels et abordables. Qui pourrait dire non à un bureau qui ressemble à ceci? Commander un grand café de service de chambre, se accroché avec le wifi gratuit, et vous allez loin. Avant de vous le savez, vous serez en marche dans votre nouveau bureau extérieur, ensoleillé. Et si vous avez besoin à l'étape à l'intérieur de chacun de vos besoins d'affaires se verra offrir par un personnel attentionné attentif qui sait comment transformer une bonne visite dans une grande visite.","1300","USD","sydney-balcony.jpg"
"7","es","SYDN-Pro2","Hacer esta tu nueva oficina","Sydney Business Package","De negocios, Wi-Fi gratis, servicio de habitaciones, Tropical","Los viajes de negocios a Australia nunca ha sido más atractivo. Hay vuelos diarios desde varios centros importantes de Estados Unidos, y un nivel nunca antes imaginadas de la comodidad en la clase de negocios - incluyendo menús a la carta y los asientos de cama plana. Sydney combina el estilo y multicuturalism de Londres con un perfecto clima tropical y excelentes hoteles y asequibles. ¿Quién podría decir que no a una oficina que se ve así? Pida un gran café al servicio de habitaciones, se enganchan con el wifi gratis, y ya está. Antes de saber que usted estará de pie y funcionando en su nueva oficina exterior soleado. Y en caso de necesitar dar un paso dentro de todas sus necesidades de negocios serán atendidos por el cuidado atento personal que sabe cómo convertir una buena visita en una gran visita.","1300","USD","sydney-balcony.jpg"
"7","hu","SYDN-Pro2","Legyen ez a új Office","Sydney Business csomag","Üzleti, Ingyenes Wifi, Szobaszerviz, Tropical","Üzleti utazás Ausztráliába még soha nem volt vonzó. Vannak napi járatok több nagy amerikai csomópontok, és a korábban elképzelhetetlen szintű kényelmet a business osztályon - többek között a la carte menüt és plató ülések. Sydney egyesíti a hangulattal és multicuturalism London tökéletes trópusi klíma és kiváló, megfizethető szállást. Ki tudna nemet mondani egy iroda, amely úgy néz ki, mint ez? Rendeljen egy nagy kávét szobaszerviz, akasztott fel az ingyenes wifi, és el is megy. Mielőtt tudod, hogy te leszel, és fut az új, napos szabadtéri iroda. És ha kell, hogy belép az minden üzleti igényt fognak gondoskodni a gondoskodó figyelmes személyzet, tudja, hogyan kell bekapcsolni egy jó látogatás egy nagy látogatást.","1300","USD","sydney-balcony.jpg"
"8","en","SYDN-Vac2","Stunning Views in Sydney","Sydney Vacation Package","Adventure,Family Friendly,Tropical,Vacation","We all know about Sydney: the Opera House, Bondi Beach and parrots in the park. But there's more: Australia's largest city offers breathtaking views and thrilling experiences, whether you're looking for cuisine, culture, sporting pursuits or nature. Where else can you see roos in the morning and watch a game of cricket in the afternoon, enjoy an evening stroll along the beach and watch a groundbreaking theater production in the evening? Or enjoy a fascinating fusion of cooking styles that combine the best of the Pacific Rim and Asian cusines with Lebanese, and Italian influences? The views are certainly stunning but what you see might just turn your expectations upside down. ","1200","USD","sydney-beach.jpg"
"8","fr","SYDN-Vac2","Une vue imprenable à Sydney","Sydney forfait vacances","Aventure, la famille, Tropical, vacances","Nous savons tous à propos de Sydney: l'Opéra, Bondi Beach et perroquets dans le parc. Mais il ya plus: la plus grande ville de l'Australie offre une vue à couper le souffle et des expériences palpitantes, si vous êtes à la recherche d'une cuisine, culture, activités sportives ou de la nature. Où pouvez-vous voir roos le matin et regarder un match de cricket dans l'après-midi, profitez d'une promenade en soirée le long de la plage et regarder une pièce de théâtre révolutionnaire dans la soirée? Ou profiter d'une fusion fascinante de cuisson styles qui combinent le meilleur de la région du Pacifique et d'Asie avec cusines libanais, et des influences italiennes? Les points de vue sont certainement magnifique, mais ce que vous voyez peuvent juste tourner vos attentes envers.","1200","USD","sydney-beach.jpg"
"8","es","SYDN-Vac2","Impresionantes vistas en Sydney","Sydney Paquete Vacacional","Adventure, Family Friendly, Tropical, Vacaciones","Todos sabemos acerca de Sydney: la Casa de la Ópera, Bondi Beach y loros en el parque. Pero hay más: la ciudad más grande de Australia ofrece impresionantes vistas y experiencias emocionantes, si usted está buscando para la cocina, la cultura, actividades deportivas o de naturaleza. ¿Dónde más se puede ver canguros en la mañana y ver un partido de cricket en la tarde, disfrutar de un paseo nocturno por la playa y ver una obra de teatro innovador en la noche? O disfrutar de una fascinante fusión de estilos de cocina que combinan lo mejor de la Cuenca del Pacífico y cusines asiáticos con Líbano, y las influencias italianas? Las vistas son sin duda impresionante, pero lo que se ve sólo podría convertir sus expectativas al revés.","1200","USD","sydney-beach.jpg"
"8","hu","SYDN-Vac2","Lenyűgöző kilátással Sydney","Sydney nyaralási","Kaland, családbarát, Tropical, Kiadó","Mindannyian tudjuk, hogy a Sydney: az Operaház, Bondi Beach és a papagájok a parkban. De van még: Ausztrália legnagyobb városa lélegzetelállító kilátást és izgalmas élmények, akár keres konyha, kultúra, sportolásra vagy a természet. Hol máshol lehet látni Roos reggel és nézni a játék a krikett délután, egy kellemes esti sétát a parton, és nézni úttörő színházi este? Vagy élvezze a lenyűgöző fúziója elkészítési módok, amelyek egyesítik a legjobb a csendes-óceáni és az ázsiai cusines a libanoni és olasz hatások? A kilátás természetesen lenyűgöző, de amit látni lehet, hogy csak be a várakozásokat fejjel lefelé.","1200","USD","sydney-beach.jpg"
